n,max rel. err (%) FP01,avg rel. err (%) FP01,max rel. err (%) FP03,avg rel. err (%) FP03,max rel. err (%) FP05,avg rel. err (%) FP05,max rel. err (%) FP07,avg rel. err (%) FP07,max rel. err (%) FP09,avg rel. err (%) FP09,max rel. err (%),avg rel. err (%)
4,4.331,0.161,4.331,0.161,9.957,0.991,14.815,1.62,14.815,1.871,36.364,2.175
10,1.081,0.053,1.081,0.053,1.376,0.081,1.613,0.135,2.376,0.27,11.48,1.286
15,0.287,0.028,0.287,0.028,0.492,0.044,0.565,0.1,1.294,0.176,8.543,0.476
20,0.128,0.003,0.128,0.003,0.343,0.022,0.343,0.026,1.277,0.082,8.434,0.6
22,0,0,0,0,0.242,0.009,0.384,0.032,0.446,0.056,7.229,0.687
25,0.099,0.003,0.099,0.003,0.188,0.01,0.31,0.027,0.343,0.037,3.679,0.498
27,0.057,0.002,0.057,0.002,0.143,0.012,0.185,0.017,0.451,0.031,10.602,0.502
30,0.058,0.002,0.058,0.002,0.125,0.009,0.27,0.03,0.223,0.044,5.514,0.507
32,0.052,0.002,0.052,0.002,0.087,0.005,0.13,0.013,0.197,0.02,3.341,0.341
35,0,0,0,0,0.088,0.006,0.117,0.011,0.139,0.017,4.609,0.28
37,0.05,0.002,0.05,0.002,0.08,0.004,0.083,0.006,0.141,0.008,8.197,0.344
40,0.051,0.003,0.051,0.003,0.064,0.004,0.064,0.005,0.112,0.011,2.337,0.199
